Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
kjvbible/lengthBaseline,4.234001818825955e-3,4.154454030186673e-3,4.314937624023666e-3,2.533397100609985e-4,2.177729463124459e-4,3.036129010053547e-4
kjvbible/viaVectorHashMap,8.855963530156706e-2,8.422836652673141e-2,9.288521991414386e-2,7.439894112740637e-3,5.6647063548648565e-3,9.887178337303466e-3
kjvbible/viaStrictHashMap,0.1057132981928384,0.10375712773549575,0.10770563989650644,3.1926262846064192e-3,2.138636140138352e-3,5.26503106516399e-3
kjvbible/viaStrictMap,0.3194676590785578,0.3135590169654461,0.32668493004894117,7.960663825207015e-3,5.023733141041304e-3,9.931798652793242e-3
kjvbible/viaLazyMap,0.4353527615649,0.4107598959462848,0.45342286024970235,2.5050096348466416e-2,1.2544220648187821e-2,3.466950549419744e-2
kjvbible/viaDiscrimination,0.5226049819151134,0.502003033998335,0.5407122024989803,2.167932751720308e-2,5.76132598884441e-3,2.663819307792224e-2
numbers/lengthBaseline,2.749001690153012e-3,2.7337814323987754e-3,2.76660121148685e-3,5.8167318980384865e-5,4.9300749782288704e-5,7.296073048838363e-5
numbers/viaVectorHashMap,2.9833409360033567e-2,2.929245609855739e-2,3.082884202342248e-2,1.5049733635032982e-3,7.316899371511572e-4,2.2477674773866228e-3
numbers/viaStrictHashMap,0.10316381999855334,9.91401674767042e-2,0.10703842567916266,6.307292171815905e-3,4.315438831564348e-3,9.318019494703522e-3
numbers/viaStrictMap,0.5630792996883732,0.5580714103756085,0.5669285215644777,5.304724542058512e-3,3.28671600194258e-3,6.471000562770966e-3
numbers/viaLazyMap,0.7193106063132291,0.7045564037543954,0.7321467731235316,1.5180258645867395e-2,1.1172332837246472e-2,1.7722391488182075e-2
numbers/viaDiscrimination,9.894165911994668e-2,9.500485546024201e-2,0.10528998598721244,8.259807538231557e-3,3.124921759560419e-3,1.4369444021049404e-2
numbers/viaIntMap,0.4229923498954425,0.4103629649980576,0.43383216679346026,1.3108140968296806e-2,4.132830264671025e-3,1.6401725127327703e-2
numbers/viaUnboxedVectorHash,2.2809136201259517e-2,2.2514576298880568e-2,2.318292081834086e-2,7.315112803037698e-4,5.778166353076247e-4,1.0074441781907789e-3
